,name,description,types,duration,dificulty,start,end,image,url
10,Jardines del Real – Glorieta,"Esta ruta explora lugares históricos de nuestra ciudad, algunos en pleno casco antiguo. Aunque en este caso escapa por unas horas de Ciutat Vella, cruzando el río, para mostrarnos parajes urbanos valencianos de inigualable belleza. El primer recorrido","['peu', 'Patrimonial']",3 horas,,Jardines del Real,Glorieta,https://cultural.valencia.es/wp-content/uploads/2018/10/palacio-cervello-logotipo.jpg,https://cultural.valencia.es/es/ruta/jardins-del-reial-glorieta/
11,La barraca,"Aunque el núcleo principal de la acción de La barraca transcurre en la huerta de Alboraya, los personajes se desplazan con cierta frecuencia a València, por lo que a partir de sus movimientos es posible trazar el siguiente itinerario por la ciudad, que se completa con algunos espacios estrechamente vinculados a la biografía de Vicente Blasco Ibáñez.","['peu', 'Literària']",1 hora y media,baja,Puente y torre de Serranos,"Calle de las Barcas, esquina Pascual y Genís o calle Guillem de Castro",https://cultural.valencia.es/wp-content/uploads/2018/07/labarraca-wpcf_194x300.jpg,https://cultural.valencia.es/es/ruta/la-barraca/
12,Ruta Cultural Anillo Ciclista,El anillo ciclista de la ciudad permite disfrutar a su paso de edificios y sitios emblemáticos de la ciudad. Todo un gusto ir en bicicleta y poder empaparse de la cultura y de la historia de la ciudad de Valencia. ,"['bicicleta', 'Històrica']",90 minutos,baja,Puerta del Mar,Jardines de la Glorieta,https://cultural.valencia.es/wp-content/uploads/2018/07/ruta-anell-ciclista-cultural-valencia-logotip.jpg,https://cultural.valencia.es/es/ruta/ruta-cultural-anillo-ciclista/
13,Ruta de la Seda,"En esta ruta repasamos el rico legado histórico y patrimonial que dejó el comercio de la seda en Valencia. Entre los siglos XIV y XVIII esta fue una ciudad muy importante en la producción de tejidos, la industria más potente en dicho periodo. Desde el","['peu', 'Històrica']",2 horas,,Palau de Tamarit,Palau de Malferit,https://cultural.valencia.es/wp-content/uploads/2018/10/ruta-de-la-seda-logo.jpg,https://cultural.valencia.es/es/ruta/ruta-de-la-seda/
14,Ruta de los Pecados en el  entorno del Mercado Central,"El triángulo que conforman tres de los edificios más señeros de nuestra ciudad, La Lonja, el Mercado y la Iglesia de los Santos Juanes, conforman el muestrario de un auténtico zoológico de piedra y metal.","['peu', 'Històrica']",60 minutos,baja,Explanada de la Iglesia de los Santos Juanes (Iglesia de San Juan del Mercado),El jardín de La Lonja,https://cultural.valencia.es/wp-content/uploads/2018/07/mercat-façana-ruta-dels-pecats-cultural-valencia-logotip.jpg,https://cultural.valencia.es/es/ruta/ruta-de-los-pecados-en-el-entorno-del-mercado-central/
15,Ruta por el Centro Histórico,"Entre las Torres de Serranos y las de Quart, las dos únicas puertas fortificadas que se conservan de la muralla medieval, transcurre nuestra propuesta de ruta por el centro histórico de la ciudad. Un paseo a pie que nos ocupará aproximadamente una hora","['peu', 'Turística']",1 hora,,Torres dels Serrans,Torres de Quart,https://cultural.valencia.es/wp-content/uploads/2018/10/catedral-valencia-logo.jpg,https://cultural.valencia.es/es/ruta/ruta-pel-centre-historic/
16,Ruta recinto amurallado de época islámica,Se toma como referencia el trazado de la muralla en el momento de la conquista cristina de la ciudad en 1238 por las tropas de Jaime I.,"['peu', 'Històrica']",,media,,,https://cultural.valencia.es/wp-content/uploads/2018/11/Tossal-Thumbail-300x204.jpg,https://cultural.valencia.es/es/ruta/ruta-recinto-amurallado-de-epoca-islamica/
17,Ruta Valencia en bicicleta,"Si apuestas por el transporte sostenible y te gusta ir en bicicleta, debes saber que Valencia reúne condiciones ideales para el turismo ciclista. Por muchas razones: por su tamaño no excesivamente grande, por su condición de ciudad prácticamente plana,","['bicicleta', 'Turística']",7 horas. Con paradas.,,Torres dels Serrans,Passeig Marítim,https://cultural.valencia.es/wp-content/uploads/2018/10/Palau-de-la-musica-logotipo.jpg,https://cultural.valencia.es/es/ruta/ruta-valencia-amb-bicicleta/
18,San Agustín – Pont de Fusta,"Algunos de los lugares y monumentos valencianos más representativos se encuentran en esta ruta que arranca en la Plaza de San Agustín y se extiende más allá de Ciutat Vella, hasta el Monasterio de la Santísima Trinidad cruzando el Pont de Fusta. Sin du","['peu', 'Patrimonial']",6 horas,media,Iglesia de San Agustín,Torres de Serranos,https://cultural.valencia.es/wp-content/uploads/2018/10/Lonja-logo.jpg,https://cultural.valencia.es/es/ruta/san-agustin-pont-de-fusta/
19,San Agustín – Portal Nou,Esta ruta nos lleva por puntos históricos alrededor del casco antiguo de la ciudad de Valencia. Ciutat Vella es el distrito más antiguo de la ciudad. Podemos encontrar los principales edificios y monumentos emblemáticos de Valencia.,"['peu', 'Patrimonial']",,baja,,,https://cultural.valencia.es/wp-content/uploads/2018/07/rutes-ciutta-valencia-casc-antic-wpcf_300x200.jpg,https://cultural.valencia.es/es/ruta/san-agustin-portal-nou/
20,Serranos – Palau de la Generalitat,"Esta ruta recorre alguno de los monumentos más destacados de nuestra arquitectura civil y religiosa. Iglesias de origen ancestral, museos, espacios culturales y palacios centenarios saldrán constantemente a nuestro paso en este recorrido cargado de tra","['peu', 'Patrimonial']",3 horas,baja,Torres de Serranos,Palau de la Generalitat,https://cultural.valencia.es/wp-content/uploads/2018/10/130_PUENTE-TRINIDAD-logo.jpg,https://cultural.valencia.es/es/ruta/serrans-palau-de-la-generalitat/
21,Torres de Quart – Temple,"Pasado y presente se dan la mano en este recorrido que se plantea entre las Torres de Quart y el Palacio del Temple. Nuestro itinerario transcurre principalmente por el distrito de Ciutat Vella, por el casco viejo de Valencia a través de barrios como E","['peu', 'Patrimonial']",7 horas,baja,Jardín Botánico,Jardines del Real,https://cultural.valencia.es/wp-content/uploads/2018/10/torres-de-quart-logotipo.jpg,https://cultural.valencia.es/es/ruta/torres-de-quart-temple/
22,Trinidad – El Almudín,"La ruta comprendida entre el Monasterio de la Trinidad y el monumento del Almudín de Valencia cuenta con un enorme trasfondo histórico y artístico, y también con algunos de los lugares y monumentos más interesantes, reconocidos y admirados por los ciud","['peu', 'Patrimonial']",4 horas,,Torres de Serranos,El Almudín,https://cultural.valencia.es/wp-content/uploads/2018/10/Almudín_destacada-1.jpg,https://cultural.valencia.es/es/ruta/trinidad-el-almudin/
23,Valencia en la Memoria,"Valencia en la Memoria es un proyecto de la Concejalía de Patrimonio y Recursos Culturales que recupera para el espacio público de nuestra ciudad edificios o monumentos que tuvieron un importante papel (político, cultural y cotidiano) durante la guerra civil, y para especial atención al año en qué Valencia fue capital de la República.","['peu', 'Històrica']",,baja,Edificio del Ayuntamiento,Hospital San Juan de Dios,https://cultural.valencia.es/wp-content/uploads/2018/09/ruta-valencia-en-la-memoria-cultural-valencia-destacado.jpg,https://cultural.valencia.es/es/ruta/valencia-en-la-memoria/
