,age,gender,time_available,route_type,price,difficulty,accompaniment,transport,selection_map
110,35-45,Hombre,3 - 4,Literaria,1-50 Euros,Alta,Pareja,Pie,5
111,35-45,Mujer,7 - 8,Turistica,1-50 Euros,Baja,Pareja,Pie,4
112,35-45,Mujer,1 - 2,Turistica,Gratis,Baja,Solo,Pie,4
113,18-35,Hombre,1 - 2,Historica,1-50 Euros,Alta,Familia,Bicicleta,7
114,35-45,Mujer,3 - 4,Turistica,Gratis,Baja,Pareja,Bicicleta,2
115,+45,Hombre,7 - 8,Turistica,Gratis,Alta,Solo,Bicicleta,17
116,+45,Prefiero no decirlo,1 - 2,Turistica,Gratis,Baja,Pareja,Pie,11
117,18-35,Hombre,1 - 2,Turistica,1-50 Euros,Alta,Solo,Pie,9
118,35-45,Hombre,3 - 4,Turistica,Gratis,Baja,Pareja,Pie,10
119,18-35,Hombre,1 - 2,Turistica,+50 Euros,Baja,Pareja,Pie,3
120,+45,Hombre,3 - 4,Turistica,Gratis,Baja,Solo,Pie,3
121,18-35,Hombre,3 - 4,Historica,1-50 Euros,Baja,Pareja,Pie,23
122,18-35,Prefiero no decirlo,1 - 2,Historica,1-50 Euros,Baja,Solo,Pie,7
123,+45,Hombre,1 - 2,Literaria,1-50 Euros,Alta,Solo,Bicicleta,20
124,35-45,Hombre,1 - 2,Turistica,Gratis,Baja,Familia,Bicicleta,22
125,35-45,Mujer,1 - 2,Historica,Gratis,Baja,Solo,Bicicleta,20
126,35-45,Hombre,3 - 4,Historica,1-50 Euros,Alta,Pareja,Pie,22
127,35-45,Mujer,1 - 2,Turistica,+50 Euros,Baja,Solo,Pie,8
128,35-45,Hombre,1 - 2,Historica,1-50 Euros,Baja,Pareja,Pie,22
129,18-35,Mujer,1 - 2,Turistica,Gratis,Alta,Solo,Bicicleta,2
130,18-35,Hombre,3 - 4,Historica,Gratis,Alta,Solo,Bicicleta,12
131,35-45,Hombre,1 - 2,Historica,+50 Euros,Baja,Familia,Pie,8
132,35-45,Hombre,1 - 2,Historica,1-50 Euros,Baja,Familia,Bicicleta,19
133,18-35,Hombre,1 - 2,Literaria,Gratis,Baja,Pareja,Bicicleta,4
134,18-35,Mujer,1 - 2,Turistica,+50 Euros,Alta,Solo,Bicicleta,0
135,+45,Mujer,3 - 4,Literaria,Gratis,Baja,Pareja,Pie,22
136,35-45,Hombre,3 - 4,Patrimonio,Gratis,Alta,Solo,Pie,11
137,35-45,Mujer,1 - 2,Historica,+50 Euros,Alta,Solo,Pie,16
138,+45,Mujer,3 - 4,Literaria,Gratis,Baja,Familia,Pie,13
139,18-35,Hombre,3 - 4,Literaria,Gratis,Baja,Pareja,Bicicleta,19
140,35-45,Hombre,3 - 4,Literaria,1-50 Euros,Alta,Solo,Bicicleta,15
141,18-35,Hombre,1 - 2,Turistica,1-50 Euros,Baja,Pareja,Pie,20
142,35-45,Hombre,1 - 2,Literaria,Gratis,Alta,Familia,Bicicleta,20
143,35-45,Hombre,1 - 2,Patrimonio,Gratis,Alta,Pareja,Bicicleta,7
144,+45,Mujer,1 - 2,Turistica,Gratis,Baja,Solo,Pie,13
145,18-35,Hombre,7 - 8,Historica,1-50 Euros,Baja,Pareja,Pie,11
146,+45,Hombre,7 - 8,Historica,Gratis,Alta,Solo,Pie,21
147,18-35,Hombre,3 - 4,Historica,Gratis,Alta,Solo,Pie,11
148,18-35,Hombre,1 - 2,Literaria,Gratis,Baja,Pareja,Bicicleta,7
149,35-45,Mujer,3 - 4,Historica,Gratis,Alta,Solo,Pie,9
150,18-35,Hombre,3 - 4,Historica,1-50 Euros,Baja,Pareja,Bicicleta,18
151,+45,Hombre,1 - 2,Patrimonio,+50 Euros,Baja,Solo,Pie,14
152,35-45,Hombre,1 - 2,Historica,Gratis,Alta,Familia,Pie,20
153,18-35,Hombre,7 - 8,Turistica,1-50 Euros,Baja,Pareja,Bicicleta,8
154,35-45,Hombre,3 - 4,Turistica,1-50 Euros,Baja,Solo,Bicicleta,8
155,35-45,Mujer,3 - 4,Historica,1-50 Euros,Baja,Familia,Pie,13
156,35-45,Hombre,7 - 8,Historica,1-50 Euros,Baja,Solo,Bicicleta,3
157,18-35,Hombre,3 - 4,Historica,1-50 Euros,Alta,Familia,Pie,4
158,+45,Mujer,3 - 4,Historica,Gratis,Baja,Pareja,Pie,11
159,35-45,Mujer,1 - 2,Historica,+50 Euros,Baja,Solo,Pie,16
160,18-35,Mujer,1 - 2,Literaria,1-50 Euros,Baja,Pareja,Bicicleta,19
161,18-35,Hombre,1 - 2,Literaria,1-50 Euros,Baja,Pareja,Bicicleta,19
162,35-45,Hombre,7 - 8,Turistica,+50 Euros,Baja,Pareja,Pie,3
163,+45,Hombre,1 - 2,Literaria,Gratis,Baja,Pareja,Pie,14
164,35-45,Hombre,7 - 8,Historica,1-50 Euros,Alta,Solo,Bicicleta,1
165,35-45,Hombre,1 - 2,Turistica,Gratis,Baja,Familia,Pie,2
166,18-35,Mujer,1 - 2,Historica,Gratis,Baja,Familia,Pie,20
167,18-35,Hombre,3 - 4,Historica,+50 Euros,Alta,Pareja,Bicicleta,21
168,35-45,Hombre,3 - 4,Turistica,1-50 Euros,Baja,Pareja,Bicicleta,7
169,35-45,Hombre,7 - 8,Historica,Gratis,Baja,Solo,Bicicleta,10
170,18-35,Mujer,1 - 2,Turistica,Gratis,Baja,Solo,Pie,8
171,35-45,Hombre,1 - 2,Literaria,1-50 Euros,Baja,Solo,Pie,5
172,35-45,Hombre,3 - 4,Turistica,1-50 Euros,Baja,Solo,Bicicleta,16
173,35-45,Mujer,3 - 4,Turistica,1-50 Euros,Baja,Familia,Bicicleta,5
174,18-35,Mujer,1 - 2,Historica,Gratis,Alta,Pareja,Bicicleta,17
175,35-45,Prefiero no decirlo,3 - 4,Historica,1-50 Euros,Alta,Solo,Pie,14
176,+45,Mujer,3 - 4,Historica,1-50 Euros,Baja,Solo,Pie,1
177,18-35,Hombre,3 - 4,Historica,1-50 Euros,Baja,Familia,Bicicleta,5
178,18-35,Mujer,1 - 2,Historica,Gratis,Baja,Solo,Pie,17
179,35-45,Hombre,1 - 2,Turistica,Gratis,Baja,Pareja,Bicicleta,19
180,35-45,Hombre,1 - 2,Historica,Gratis,Baja,Pareja,Bicicleta,19
181,+45,Mujer,3 - 4,Historica,1-50 Euros,Alta,Pareja,Bicicleta,12
182,18-35,Mujer,1 - 2,Turistica,1-50 Euros,Alta,Pareja,Pie,11
183,35-45,Hombre,1 - 2,Historica,Gratis,Baja,Pareja,Bicicleta,0
184,18-35,Hombre,3 - 4,Historica,1-50 Euros,Baja,Pareja,Pie,20
185,18-35,Hombre,7 - 8,Historica,1-50 Euros,Baja,Solo,Pie,21
186,18-35,Mujer,1 - 2,Historica,Gratis,Baja,Solo,Bicicleta,9
187,18-35,Hombre,1 - 2,Turistica,Gratis,Alta,Solo,Bicicleta,15
188,35-45,Mujer,1 - 2,Historica,Gratis,Baja,Solo,Pie,1
189,18-35,Mujer,1 - 2,Turistica,Gratis,Baja,Pareja,Pie,5
190,35-45,Hombre,1 - 2,Literaria,Gratis,Alta,Pareja,Bicicleta,20
191,18-35,Hombre,1 - 2,Turistica,1-50 Euros,Baja,Solo,Pie,1
192,35-45,Hombre,7 - 8,Historica,Gratis,Alta,Pareja,Pie,5
193,18-35,Prefiero no decirlo,1 - 2,Historica,Gratis,Baja,Pareja,Pie,0
194,+45,Mujer,1 - 2,Turistica,Gratis,Alta,Solo,Pie,8
195,18-35,Mujer,1 - 2,Historica,+50 Euros,Baja,Pareja,Bicicleta,10
196,18-35,Mujer,1 - 2,Turistica,Gratis,Baja,Pareja,Pie,3
197,35-45,Hombre,1 - 2,Literaria,Gratis,Alta,Solo,Pie,23
198,35-45,Prefiero no decirlo,7 - 8,Turistica,Gratis,Alta,Familia,Pie,19
199,+45,Hombre,1 - 2,Patrimonio,1-50 Euros,Baja,Familia,Bicicleta,5
200,35-45,Hombre,3 - 4,Literaria,1-50 Euros,Baja,Familia,Pie,18
201,18-35,Prefiero no decirlo,3 - 4,Historica,Gratis,Baja,Pareja,Pie,13
202,35-45,Hombre,7 - 8,Historica,1-50 Euros,Baja,Solo,Bicicleta,18
203,18-35,Mujer,1 - 2,Literaria,Gratis,Baja,Pareja,Pie,18
204,+45,Mujer,1 - 2,Historica,1-50 Euros,Alta,Solo,Pie,2
205,18-35,Prefiero no decirlo,3 - 4,Turistica,Gratis,Baja,Pareja,Bicicleta,7
206,35-45,Hombre,1 - 2,Turistica,1-50 Euros,Alta,Pareja,Bicicleta,19
207,35-45,Hombre,3 - 4,Turistica,1-50 Euros,Baja,Solo,Pie,14
208,18-35,Hombre,3 - 4,Turistica,1-50 Euros,Baja,Pareja,Bicicleta,7
209,35-45,Hombre,1 - 2,Literaria,Gratis,Baja,Pareja,Bicicleta,9
210,18-35,Mujer,1 - 2,Turistica,1-50 Euros,Baja,Pareja,Pie,2
211,35-45,Mujer,3 - 4,Literaria,Gratis,Baja,Solo,Pie,13
212,35-45,Mujer,3 - 4,Turistica,Gratis,Baja,Solo,Bicicleta,21
213,18-35,Mujer,3 - 4,Historica,Gratis,Baja,Solo,Pie,8
214,35-45,Mujer,7 - 8,Turistica,Gratis,Alta,Familia,Pie,20
215,35-45,Mujer,3 - 4,Patrimonio,Gratis,Alta,Pareja,Pie,3
216,18-35,Mujer,1 - 2,Historica,+50 Euros,Alta,Pareja,Pie,13
217,18-35,Hombre,1 - 2,Historica,Gratis,Baja,Solo,Bicicleta,22
218,35-45,Prefiero no decirlo,1 - 2,Turistica,1-50 Euros,Alta,Solo,Pie,4
219,35-45,Mujer,1 - 2,Turistica,Gratis,Baja,Pareja,Bicicleta,16
220,18-35,Hombre,3 - 4,Historica,Gratis,Baja,Pareja,Bicicleta,8
221,18-35,Hombre,1 - 2,Turistica,1-50 Euros,Baja,Familia,Pie,22
222,18-35,Mujer,1 - 2,Historica,1-50 Euros,Baja,Solo,Bicicleta,0
223,18-35,Mujer,7 - 8,Historica,+50 Euros,Baja,Pareja,Pie,4
224,35-45,Hombre,1 - 2,Historica,1-50 Euros,Alta,Solo,Pie,20
225,35-45,Mujer,1 - 2,Literaria,Gratis,Baja,Pareja,Bicicleta,12
226,18-35,Mujer,1 - 2,Literaria,Gratis,Baja,Solo,Bicicleta,20
227,18-35,Hombre,3 - 4,Historica,Gratis,Baja,Solo,Pie,6
228,18-35,Hombre,7 - 8,Historica,+50 Euros,Baja,Pareja,Bicicleta,5
229,18-35,Hombre,5 - 6,Literaria,+50 Euros,Alta,Pareja,Bicicleta,12
230,35-45,Hombre,3 - 4,Historica,Gratis,Baja,Pareja,Bicicleta,15
231,18-35,Hombre,3 - 4,Turistica,Gratis,Baja,Familia,Pie,13
232,18-35,Hombre,1 - 2,Historica,+50 Euros,Baja,Pareja,Pie,2
233,18-35,Mujer,1 - 2,Turistica,+50 Euros,Baja,Solo,Pie,4
234,18-35,Hombre,1 - 2,Historica,1-50 Euros,Baja,Solo,Bicicleta,10
235,35-45,Hombre,5 - 6,Literaria,1-50 Euros,Alta,Pareja,Bicicleta,19
236,18-35,Hombre,5 - 6,Turistica,Gratis,Baja,Pareja,Bicicleta,16
237,18-35,Hombre,1 - 2,Turistica,+50 Euros,Baja,Familia,Bicicleta,9
238,18-35,Hombre,1 - 2,Historica,1-50 Euros,Baja,Pareja,Pie,1
239,35-45,Hombre,1 - 2,Literaria,+50 Euros,Baja,Familia,Bicicleta,20
240,35-45,Hombre,3 - 4,Historica,+50 Euros,Alta,Solo,Bicicleta,3
241,18-35,Hombre,7 - 8,Turistica,Gratis,Alta,Solo,Pie,6
242,18-35,Hombre,3 - 4,Turistica,1-50 Euros,Alta,Solo,Pie,13
243,18-35,Hombre,1 - 2,Historica,1-50 Euros,Baja,Pareja,Pie,17
244,18-35,Hombre,3 - 4,Historica,Gratis,Alta,Pareja,Bicicleta,13
245,18-35,Mujer,1 - 2,Turistica,+50 Euros,Baja,Pareja,Pie,2
246,18-35,Hombre,1 - 2,Literaria,Gratis,Baja,Solo,Bicicleta,3
247,35-45,Mujer,1 - 2,Literaria,Gratis,Baja,Solo,Bicicleta,16
248,18-35,Hombre,1 - 2,Turistica,+50 Euros,Alta,Solo,Pie,3
249,35-45,Hombre,1 - 2,Turistica,Gratis,Baja,Solo,Bicicleta,17
250,35-45,Hombre,7 - 8,Turistica,+50 Euros,Alta,Pareja,Bicicleta,22
251,35-45,Hombre,7 - 8,Patrimonio,Gratis,Alta,Pareja,Pie,17
252,35-45,Hombre,1 - 2,Patrimonio,Gratis,Baja,Solo,Bicicleta,6
253,18-35,Hombre,3 - 4,Turistica,Gratis,Baja,Pareja,Pie,6
254,18-35,Mujer,1 - 2,Historica,1-50 Euros,Baja,Pareja,Pie,22
255,18-35,Prefiero no decirlo,1 - 2,Historica,Gratis,Baja,Pareja,Bicicleta,7
256,18-35,Hombre,1 - 2,Historica,1-50 Euros,Baja,Pareja,Pie,17
257,35-45,Hombre,1 - 2,Turistica,Gratis,Alta,Solo,Pie,14
258,35-45,Hombre,1 - 2,Literaria,1-50 Euros,Baja,Solo,Pie,2
259,18-35,Mujer,3 - 4,Turistica,Gratis,Baja,Pareja,Pie,1
260,18-35,Hombre,7 - 8,Historica,Gratis,Alta,Familia,Bicicleta,18
261,35-45,Mujer,3 - 4,Historica,Gratis,Baja,Solo,Pie,7
262,35-45,Mujer,1 - 2,Historica,1-50 Euros,Baja,Pareja,Pie,19
263,35-45,Mujer,1 - 2,Historica,1-50 Euros,Baja,Familia,Pie,12
264,35-45,Hombre,5 - 6,Historica,1-50 Euros,Baja,Solo,Bicicleta,17
265,35-45,Hombre,1 - 2,Patrimonio,Gratis,Baja,Solo,Bicicleta,8
266,35-45,Hombre,3 - 4,Literaria,1-50 Euros,Alta,Solo,Pie,19
267,18-35,Mujer,1 - 2,Turistica,1-50 Euros,Alta,Solo,Bicicleta,4
268,18-35,Hombre,1 - 2,Turistica,Gratis,Alta,Pareja,Pie,2
269,35-45,Hombre,7 - 8,Turistica,Gratis,Alta,Pareja,Bicicleta,21
270,18-35,Mujer,1 - 2,Turistica,1-50 Euros,Baja,Familia,Pie,13
271,35-45,Hombre,7 - 8,Literaria,Gratis,Baja,Pareja,Bicicleta,22
272,18-35,Hombre,1 - 2,Turistica,Gratis,Alta,Solo,Bicicleta,22
273,35-45,Mujer,1 - 2,Turistica,1-50 Euros,Baja,Solo,Pie,4
274,35-45,Mujer,3 - 4,Historica,1-50 Euros,Baja,Solo,Pie,8
275,35-45,Mujer,1 - 2,Literaria,Gratis,Alta,Pareja,Pie,4
276,18-35,Hombre,7 - 8,Historica,Gratis,Alta,Solo,Bicicleta,17
277,18-35,Prefiero no decirlo,1 - 2,Historica,Gratis,Alta,Familia,Pie,13
278,35-45,Hombre,1 - 2,Literaria,Gratis,Baja,Solo,Pie,17
279,35-45,Hombre,1 - 2,Patrimonio,Gratis,Baja,Pareja,Bicicleta,16
280,18-35,Hombre,3 - 4,Turistica,1-50 Euros,Alta,Pareja,Pie,13
281,+45,Mujer,3 - 4,Turistica,Gratis,Alta,Pareja,Pie,10
282,18-35,Hombre,1 - 2,Literaria,Gratis,Alta,Solo,Pie,22
283,18-35,Hombre,1 - 2,Historica,1-50 Euros,Baja,Familia,Bicicleta,18
284,18-35,Hombre,1 - 2,Historica,1-50 Euros,Baja,Pareja,Pie,2
285,35-45,Hombre,1 - 2,Literaria,1-50 Euros,Alta,Solo,Bicicleta,21
286,35-45,Hombre,1 - 2,Historica,1-50 Euros,Baja,Pareja,Pie,2
287,18-35,Hombre,3 - 4,Historica,1-50 Euros,Alta,Pareja,Pie,1
288,35-45,Hombre,3 - 4,Historica,Gratis,Baja,Solo,Pie,3
289,35-45,Hombre,3 - 4,Literaria,1-50 Euros,Alta,Pareja,Bicicleta,9
290,18-35,Hombre,3 - 4,Turistica,1-50 Euros,Baja,Pareja,Pie,9
291,35-45,Hombre,1 - 2,Literaria,1-50 Euros,Baja,Solo,Bicicleta,11
292,35-45,Hombre,7 - 8,Historica,Gratis,Baja,Pareja,Bicicleta,20
293,18-35,Hombre,1 - 2,Literaria,Gratis,Alta,Solo,Pie,1
294,18-35,Mujer,1 - 2,Historica,Gratis,Baja,Solo,Bicicleta,10
295,35-45,Hombre,1 - 2,Turistica,1-50 Euros,Baja,Solo,Pie,1
296,+45,Hombre,1 - 2,Historica,Gratis,Alta,Solo,Bicicleta,15
297,18-35,Mujer,3 - 4,Patrimonio,1-50 Euros,Baja,Pareja,Pie,8
298,35-45,Hombre,1 - 2,Turistica,1-50 Euros,Baja,Pareja,Bicicleta,20
299,18-35,Hombre,3 - 4,Historica,Gratis,Baja,Solo,Pie,18
300,18-35,Prefiero no decirlo,1 - 2,Historica,Gratis,Baja,Solo,Pie,20
301,35-45,Mujer,1 - 2,Turistica,1-50 Euros,Baja,Familia,Pie,8
302,35-45,Prefiero no decirlo,1 - 2,Turistica,Gratis,Baja,Familia,Bicicleta,2
303,35-45,Prefiero no decirlo,3 - 4,Turistica,Gratis,Baja,Familia,Bicicleta,10
304,35-45,Hombre,1 - 2,Literaria,Gratis,Baja,Pareja,Bicicleta,2
305,+45,Hombre,5 - 6,Historica,Gratis,Baja,Pareja,Pie,1
306,35-45,Hombre,1 - 2,Turistica,Gratis,Alta,Familia,Pie,6
307,35-45,Mujer,1 - 2,Turistica,Gratis,Baja,Pareja,Pie,17
308,35-45,Hombre,3 - 4,Literaria,Gratis,Alta,Pareja,Bicicleta,22
309,18-35,Mujer,1 - 2,Historica,1-50 Euros,Baja,Solo,Pie,17
310,18-35,Mujer,3 - 4,Turistica,Gratis,Alta,Pareja,Bicicleta,19
311,18-35,Hombre,3 - 4,Literaria,Gratis,Baja,Pareja,Bicicleta,14
312,+45,Hombre,7 - 8,Historica,Gratis,Baja,Solo,Pie,11
313,35-45,Mujer,1 - 2,Historica,1-50 Euros,Baja,Pareja,Bicicleta,18
314,18-35,Prefiero no decirlo,1 - 2,Patrimonio,Gratis,Alta,Pareja,Pie,16
