descripcion,coordenadas,nombre_ruta,nombre_punto_interes,descripcion_ruta
Punt de Partida,"['-0.3610104,39.4692901,0']",Arbres: Un passeig per l’Albereda,Plaça de Saragossa,"L’albereda va nàixer amb vocació de ser un passeig per a la ciutadania. Per això, “Un passeig per l’albereda” ens trasllada a aquest emblemàtic lloc el nom el qual té el seu origen en la presència d’uns arbres, els àlbers, dels quals encara podem trobar algun exemplar i ens permetrà descobrir un gran nombre d’espècies, singulars i monumentals en una part de la ciutat carregada d’història."
"En aquest punt de la ruta podem trobar Figueres australianes, Palmera canària o Eucalipte roig abans d’avançar cap a la Font de les Quatre Estacions.","['-0.3630596,39.4718824,0']",Arbres: Un passeig per l’Albereda,Pont de les Flors,"L’albereda va nàixer amb vocació de ser un passeig per a la ciutadania. Per això, “Un passeig per l’albereda” ens trasllada a aquest emblemàtic lloc el nom el qual té el seu origen en la presència d’uns arbres, els àlbers, dels quals encara podem trobar algun exemplar i ens permetrà descobrir un gran nombre d’espècies, singulars i monumentals en una part de la ciutat carregada d’història."
"L’albereda va nàixer amb vocació de ser un passeig per a la ciutadania. Per això, “Un passeig per l’albereda” ens trasllada a aquest emblemàtic lloc el nom el qual té el seu origen en la presència d’uns arbres, els àlbers, dels quals encara podem trobar algun exemplar i ens permetrà descobrir un gran nombre d’espècies, singulars i monumentals en una part de la ciutat carregada d’història.","['-0.3654522,39.4748804,0']",Arbres: Un passeig per l’Albereda,Albereda,"L’albereda va nàixer amb vocació de ser un passeig per a la ciutadania. Per això, “Un passeig per l’albereda” ens trasllada a aquest emblemàtic lloc el nom el qual té el seu origen en la presència d’uns arbres, els àlbers, dels quals encara podem trobar algun exemplar i ens permetrà descobrir un gran nombre d’espècies, singulars i monumentals en una part de la ciutat carregada d’història."
Aquest jardí connecta el Passeig de l’Albereda amb l’Avinguda Blasco Ibañez. En ell trobarem un gran exemplar de Figuera australiana.,"['-0.3649738,39.4777706,0']",Arbres: Un passeig per l’Albereda,Jardí de Monforte,"L’albereda va nàixer amb vocació de ser un passeig per a la ciutadania. Per això, “Un passeig per l’albereda” ens trasllada a aquest emblemàtic lloc el nom el qual té el seu origen en la presència d’uns arbres, els àlbers, dels quals encara podem trobar algun exemplar i ens permetrà descobrir un gran nombre d’espècies, singulars i monumentals en una part de la ciutat carregada d’història."
"<img src=""https://doc-0g-7k-mymaps.googleusercontent.com/untrusted/hostedimage/ou6c6r4ot251igcmt16atv0meo/t283aahl26poshfei5oe8prm18/1657904400000/fVG0_v5bgk0pZ7uPHCGOPpdQPUPHkrKH/*/6AFzc1vb-wy62O4AG-ZTroDmXjbp0poLg9An7EqcrxyzCssiJsydKd-7oODn2JGieW0pa4yHbqkDJI_rFS59ve6EmTyC59JZRRAqxclbCA7upYM6DdhLXFnUgwNWvYKqIkCIsC6DpFA5LeKNdHCRqf77BPa0BhPANM93qz4lnK3D4iQx7Ff-yqQxFK4xRKsZZBE5e_9Y?session=0&fife"" height=""200"" width=""auto"" /><br><br>En aquest itinerari, arribarem al centre històric de la ciutat partint des del sud. Com a referent ens serveix el conte «Un hallazgo», en el qual el reu Magdalena, després d’eixir de la presó, és “reclutat” pel feroç Chamorra per a cometre un robatori, aprofitant que els amos de l’habitatge podrien estar assistint a una correguda de bous. Estarien, doncs, en el cus del carrer Xàtiva, lloc que va obrir les seues portes per primera vegada a l’espectacle taurí el 22 de juny de 1859. Fins llavors els afeccionats a la festa havien hagut d’acudir a la plaça del Mercat o a altres places de la ciutat on s’alçaven construccions desmuntables. Però per iniciativa del governador Melchor Ordóñez, en 1850 va començar a construir-se la plaça actual, segons el projecte de Sebastián Monleón Estellés, en el lloc on prèviament hi havia hagut un altre cus sense acabar de construir.<br><br>Declarat Monument Històric Artístic Nacional en la dècada dels 80, l’edifici està inspirat en l’amfiteatre de Nimes, i la seua factura neoclàssica es complementa amb l’estil neomudéjar recognoscible en la rajola cara vista usat per a realitzar els 384 arcs (escarsers en la planta baixa, i de mig punt en els tres pisos superiors) que s’obrin en la seua façana.<br><br>Blasco Ibáñez va acudir com a espectador a les graderies de la plaça de bous en poques ocasions. Al llarg de la seua vida va mantenir una actitud ambigua cap a la tradició taurina, encara que les pinzellades amb què descriu aquest espectacle en la novel·la Sagne i arena no li representen ni molt menys com un afeccionat entusiasta.","['-0.3761198,39.4666255,0']",Contes Blasco Ibañez – Ruta 1,Plaça de Bous,"La primera ruta de Contes de Blasco Ibañez permet redescobrir espais existents com la plaça de bous i uns altres ja desapareguts com la porta de Sant Vicent i el penal de Sant Agustín, fins i tot uns altres en els solars del qual hi ha edificacions amb usos molt diferents, cas de la presó de Sant Gregori. Des d’allí, i seguint el carrer de les Barques, arribarem fins a l’església del Patriarca per a donar finalment amb el Pouet de Sant Vicent"
"Pel mateix carrer Xàtiva, prosseguim cap a l’oest, fins a creuar-nos en la ruta que suposadament seguia el protagonista del conte «El femater». Recordem que, sent molt xiquet, Nelet era enviat a la ciutat per a arreplegar fem i contribuir, d’aqueixa manera, a la supervivència familiar. Procedia de l’horta del sud de València, i en el seu avanç havia de topar-se amb la porta de Sant Vicent. Situada enfront de l’església de Sant Agustín, en el que avui és la plaça del mateix nom, era una de les dotze portes (dels quatre portals grans) que s’obrien en la vella muralla cristiana de la ciutat. Açò és, entre 1356 i 1370, mantenint-se com a protecció la primitiva muralla islàmica, es va construir una altra fortificació (amb un perímetre de 4 km) que incorporara els nous ravals i les portes dels quals permetien una millor comunicació. La de Sant Vicent es configurava com una torrassa amb porta dintelada que va ser derruït l’any 1830. La vindria a substituir una altra amb tres buits, sobre la qual es van col·locar les escultures de Sant Vicent Màrtir i Sant Vicent Ferrer, orientades en adreça inversa i realitzades per l’artista d’origen francés Carlos José Cloostermans.","['-0.3797854,39.4681188,0']",Contes Blasco Ibañez – Ruta 1,Porta de San Vicent,"La primera ruta de Contes de Blasco Ibañez permet redescobrir espais existents com la plaça de bous i uns altres ja desapareguts com la porta de Sant Vicent i el penal de Sant Agustín, fins i tot uns altres en els solars del qual hi ha edificacions amb usos molt diferents, cas de la presó de Sant Gregori. Des d’allí, i seguint el carrer de les Barques, arribarem fins a l’església del Patriarca per a donar finalment amb el Pouet de Sant Vicent"
"<img src=""https://doc-00-7k-mymaps.googleusercontent.com/untrusted/hostedimage/ou6c6r4ot251igcmt16atv0meo/4bmg9kd09rpeaajqnj1gfbrmjo/1657904400000/fVG0_v5bgk0pZ7uPHCGOPpdQPUPHkrKH/*/6AFzc1vaNHjDGhdDay9x-etrhGfacGFOt_Pd9cWMoeGsGDma309tP7gvArRpKQZDKwhw6cmd0QsjD03xm30qysLpiTu_jeKktxb1EsDH6QvsjZ_hwPmxVBMVb_wx7u-YvkUbaIWfwkn-OvWVINVE6B5eZ8nSjd1AhzYbjMCykUYgohEEWOlsMPTQZl-n2wwcu_FA00CA?session=0&fife"" height=""200"" width=""auto"" /><br><br>En els voltants de la plaça de Sant Agustín, més concretament al costat de l’església del mateix nom i el solar de l’edifici d’Hisenda (carrer Guillem de Castro), s’assentava un altre espai, ja desaparegut (es va demolir en 1904), que s’esmenta en el conte «Guapeza valenciana». Els germans Bandullo i Pepet, després de decidir signar les paus, marxen a compartir una paella en una alquería del camí de Burjassot. Els acompanyen altres “bonics” i “valents”, encara que tots lamenten l’absència d’altres col·legues de professió que han acabat en presidi. Aqueixa era la funció que va exercir durant una època el monestir de San Miguel dels Reis, actual seu de la Biblioteca Valenciana, i també va acabar tenint un edifici religiós com el convent de Sant Agustín.<br><br>Va ser construït durant el segle XIV, i tenia dos claustres, la qual cosa denota les seues grans dimensions. Però, a conseqüència de la desamortització de Mendizábal, es va convertir en penal, sent els propis reus els qui s’ocuparien de la seua reforma, doncs en 1812 va ser utilitzat com a caserna per les tropes napoleòniques i les instal·lacions es trobaven bastant deteriorades. L’escassa altura dels seus murs exteriors i les escasses condicions de seguretat, que propiciaven les fugides repetides dels presos, aconsellaven la seua venda per a construir un nou recinte carcerari. No obstant açò, després de la seua demolició, en l’espai que ocupava es va instal·lar el primer mercat de proveïments de la ciutat.","['-0.38062,39.4691068,0']",Contes Blasco Ibañez – Ruta 1,Presó de Sant Agustín,"La primera ruta de Contes de Blasco Ibañez permet redescobrir espais existents com la plaça de bous i uns altres ja desapareguts com la porta de Sant Vicent i el penal de Sant Agustín, fins i tot uns altres en els solars del qual hi ha edificacions amb usos molt diferents, cas de la presó de Sant Gregori. Des d’allí, i seguint el carrer de les Barques, arribarem fins a l’església del Patriarca per a donar finalment amb el Pouet de Sant Vicent"
"Una altra vegada el conte «Guapeza valenciana» ens serveix per a transitar des de la plaça de Sant Agustín a l’avinguda de l’Oest. Amb prou faenes penetrem en ella, en la cantonada dels carrers La nostra Senyora de Gracia i del Gravador Selma, donem amb el lloc on va estar situat aqueix cafetín al que al·ludeix el narrador i que per la naturalesa dels seus clients no havia de ser un establiment de molt bona reputació. Aquest local de begudes ja desaparegut estava obert anys abans de la seua reforma en 1903, any en què s’anunciava en El Poble, destacant el preu econòmic dels seus licors i, especialment, la qualitat de les seues botelles de absenta i vermut. Al setembre de 1907, no obstant açò, en el mateix diari es publicitaba el traspàs del negoci.","['-0.379711,39.4697238,0']",Contes Blasco Ibañez – Ruta 1,Cafetín del Cubano,"La primera ruta de Contes de Blasco Ibañez permet redescobrir espais existents com la plaça de bous i uns altres ja desapareguts com la porta de Sant Vicent i el penal de Sant Agustín, fins i tot uns altres en els solars del qual hi ha edificacions amb usos molt diferents, cas de la presó de Sant Gregori. Des d’allí, i seguint el carrer de les Barques, arribarem fins a l’església del Patriarca per a donar finalment amb el Pouet de Sant Vicent"
"<img src=""https://doc-14-7k-mymaps.googleusercontent.com/untrusted/hostedimage/ou6c6r4ot251igcmt16atv0meo/ta3auiknoppq3e0k23t0thdvc8/1657904400000/fVG0_v5bgk0pZ7uPHCGOPpdQPUPHkrKH/*/6AFzc1vYDIer6vk1QluQJOlNXv5cbLyJYMqJzHA5NyKuAGzBqTXwPV29nXgYupIug-zP7TCxtuJibK4Huche4ri-8K0bL7aMzlgQjdIMBo2G507z0MIqwt03Gt7Y849SRRb9TfJQoifjlcVP-2lG4UNzD7DSiTFhUlWvoe5o9YDDE8an67aINXoeLUHvyFEE1P6Z_pWk?session=0&fife"" height=""200"" width=""auto"" /><br><br>Connectant amb el carrer Sant Vicent Màrtir, en adreça nord arribarem al lloc on actualment s’alça un dels teatres més populars de la ciutat. Per atzars de la destinació, en el solar que ocupa el Olympia estava situat un penal on Blasco Ibáñez va estar empresonat en diverses ocasions pels seus articles i campanyes periodístiques contra el règim de la Restauració. És cert que dins del recinte la seua situació era molt millor que la que patia el reu Magdalena en el conte «Una troballa», però les seues impressions sobre l’estat de Sant Gregori s’ajustaven a la realitat.<br><br>Després de la desamortització de Mendizábal es va convertir a la presó un edifici que havia tingut una llarga història. Els seus orígens estan vinculats amb l’intent de traure del carrer a les «dones públiques pecadoras» (s. xiv). A mitjan xvi aquestes dones eren conduïdes en determinades festivitats fins a la Casa de Penedides, amb una finalitat caritativa i tendent a fomentar la seua reinserció. Però conforme es van ser imposant les doctrines de la Contrareforma, la Casa es va transformar en convent (1601), oferint a les penedides l’opció de dedicar-se a la vida religiosa.<br><br>El convent-penal de Sant Gregorio es va derrocar l’any 1911, coincidint amb la inauguració de la Presó modele. En el seu lloc, anunciava la premsa de l’època, «està projectat construir una poma de cases modernes per a revitalitzar aquesta cèntrica zona. Igualment es pensa edificar un teatre que serà batejat amb el nom de Olympia» (Les Províncies).","['-0.378048,39.4708419,0']",Contes Blasco Ibañez – Ruta 1,Convent de Sant Gregori,"La primera ruta de Contes de Blasco Ibañez permet redescobrir espais existents com la plaça de bous i uns altres ja desapareguts com la porta de Sant Vicent i el penal de Sant Agustín, fins i tot uns altres en els solars del qual hi ha edificacions amb usos molt diferents, cas de la presó de Sant Gregori. Des d’allí, i seguint el carrer de les Barques, arribarem fins a l’església del Patriarca per a donar finalment amb el Pouet de Sant Vicent"
"A pocs metres de distància del carrer Sant Vicent, es troba la plaça del Ajuntament, que creuarem per a arribar al carrer de les Barques. Va haver-hi un temps en què, si no es tenia la valentia de personatges com el “bonic” Pepet, del conte «Guapeza valenciana», podia ser perillós transitar per aquesta via. Era un carrer que limitava amb l’antic barri de Pescadors, zona on antany es va instal·lar la gent que vivia de la pesca i els calafates, però que progressivament es va ser transformant en un lloc on es van situar cafetines, tavernes i prostíbuls, i amb açò van començar a ser freqüents les baralles, escàndols i crims, fins que, en 1907, es va procedir a la demolició del barri i la seua reordenació urbana.<br><br>Aquest carrer, també coneguda en un altre temps com de Vall Cubert (en passar per allí una sèquia que transportava les aigües residuals de la ciutat: el Valladar), era més llarga que en l’actualitat: arrancava en la plaça del Ajuntament i es remuntava fins a les proximitats de la plaça d’Alfons el Magnànim.<br><br>En el número 30 d’aquesta via es trobava la llibreria de vell de Francisco Sempere, qui va ser amic i soci editorial de Blasco Ibáñez. Quasi immediat a aquest establiment, estava el Cafè Español o d’Iborra, en la cantonada del carrer de les Barques i Pascual i Genís, lloc des del qual un grup de seguidors de Rodrigo Soriano va perpetrar un atemptat contra el novel·lista l’11 de setembre de 1905.","['-0.3758075,39.4703885,0']",Contes Blasco Ibañez – Ruta 1,Carrer de les Barques,"La primera ruta de Contes de Blasco Ibañez permet redescobrir espais existents com la plaça de bous i uns altres ja desapareguts com la porta de Sant Vicent i el penal de Sant Agustín, fins i tot uns altres en els solars del qual hi ha edificacions amb usos molt diferents, cas de la presó de Sant Gregori. Des d’allí, i seguint el carrer de les Barques, arribarem fins a l’església del Patriarca per a donar finalment amb el Pouet de Sant Vicent"
"<img src=""https://doc-10-7k-mymaps.googleusercontent.com/untrusted/hostedimage/ou6c6r4ot251igcmt16atv0meo/mdj8j6d1vtevvgn8kkih1h6t5g/1657904400000/fVG0_v5bgk0pZ7uPHCGOPpdQPUPHkrKH/*/6AFzc1vbGHLMQKqrdLwULR9XiH3YDPE9Bqmr-Zqczt0LGfJC0kGSB288ePXfNC8PBY0UqC5f6JMRhn-BRN1A44rzWKHvlWe9zc8QnPE6o5C5F3Wsgy_ySV19bE-SFUJNE-hjZG7H6XTUL8Z22zVeAc59CKg4FxwNeQKs9H9kE4QDPxWajlwg1nxhJDyJU3QT6dvA9aLc?session=0&fife"" height=""200"" width=""auto"" /><br><br>Just enfront de l’esmentat Cafè Español, es trobava un dels llocs avui dia més transitats de la ciutat i on era abatut el protagonista del conte «Guapeza valenciana» pels germans Bandullo. Ens estem referint a la pujada de la Morera, un espai immediat on s’alça en l’actualitat l’edifici del Banc de València (La Caixa), a l’altre costat del teatre Principal. Ja en documents del segle xiv es parla de l’existència d’una morera que limitava amb la casa d’un tal Pere Puig, per la qual cosa el lloc on es trobava rebia el nom de plaça de la Morera de Pere Puig. Quan el vell arbre es va talar en 1767, en el seu lloc es va plantar una altra morera que sobreviuria fins a l’últim terç del XIX. Aquesta segona morera va conèixer, per tant, com la plaça de Pere Puig es convertia en de les Barques i en ella estava la font de les tres Gràcies, desplaçada amb el temps a la plaça de Rodrigo Botet.","['-0.3738227,39.4704961,0']",Contes Blasco Ibañez – Ruta 1,Pujada de la Morera,"La primera ruta de Contes de Blasco Ibañez permet redescobrir espais existents com la plaça de bous i uns altres ja desapareguts com la porta de Sant Vicent i el penal de Sant Agustín, fins i tot uns altres en els solars del qual hi ha edificacions amb usos molt diferents, cas de la presó de Sant Gregori. Des d’allí, i seguint el carrer de les Barques, arribarem fins a l’església del Patriarca per a donar finalment amb el Pouet de Sant Vicent"
"En el número 14 del carrer Don Juan de Austria, Blasco Ibáñez va instal·lar en 1894 el seu domicili i la redacció del diari El Poble, per la qual cosa coneixia molt bé el barri de Pescadors.","['-0.373239,39.4702813,0']",Contes Blasco Ibañez – Ruta 1,Domicili Blasco Ibañez,"La primera ruta de Contes de Blasco Ibañez permet redescobrir espais existents com la plaça de bous i uns altres ja desapareguts com la porta de Sant Vicent i el penal de Sant Agustín, fins i tot uns altres en els solars del qual hi ha edificacions amb usos molt diferents, cas de la presó de Sant Gregori. Des d’allí, i seguint el carrer de les Barques, arribarem fins a l’església del Patriarca per a donar finalment amb el Pouet de Sant Vicent"
