route_id,name,resume,duration,dificulty,start,end,image,url,transport,type,description
10,Jardins del Reial - Glorieta,"Esta ruta explora lugares históricos de nuestra ciudad, algunos en pleno casco antiguo. Aunque en este caso escapa por unas horas de Ciutat Vella, cruzando el río, para mostrarnos parajes urbanos valencianos de inigualable belleza. El primer recorrido",180.0,,Jardines del Real,Glorieta,https://cultural.valencia.es/wp-content/uploads/2018/10/palacio-cervello-logotipo.jpg,https://cultural.valencia.es/es/ruta/jardins-del-reial-glorieta/,peu,Patrimonial,"Aquesta ruta explora llocs històrics de la nostra ciutat, alguns en ple casc antic. Encara que en aquest cas escapa per unes hores de Ciutat Vella, creuant el riu, per a mostrar-nos paratges urbans valencians de inigualable bellesa.<br><br>El primer recorregut visita algunes de les zones verdes més assenyalades i freqüentades de la ciutat, com els Vivers o l’Albereda, i utilitza els ponts sobre el Jardí del Túria per a anar d’un costat a un altre amb fluïdesa.<br><br>A l’altre costat de l’antic riu prossegueix el nostre recorregut verd en la Glorieta. I serà precisament de tornada al districte Ciutat Vella, on visitarem alguns dels principals monuments civils i eclesiàstics que defineixen a aquesta ciutat."
11,La barraca,"Aunque el núcleo principal de la acción de La barraca transcurre en la huerta de Alboraya, los personajes se desplazan con cierta frecuencia a València, por lo que a partir de sus movimientos es posible trazar el siguiente itinerario por la ciudad, que se completa con algunos espacios estrechamente vinculados a la biografía de Vicente Blasco Ibáñez.",90.0,baja,Puente y torre de Serranos,"Calle de las Barcas, esquina Pascual y Genís o calle Guillem de Castro",https://cultural.valencia.es/wp-content/uploads/2018/07/labarraca-wpcf_194x300.jpg,https://cultural.valencia.es/es/ruta/la-barraca/,peu,Literària,"Una altra vegada, seguint el moviment de diversos personatges de la novel·la blasquista des d’Alboraia fins a la ciutat, es proposa un recorregut que parteix des de les torres de Serrans, flueix a continuació fins a la plaça de la Verge i el Miguelete, i s’endinsa en la zona del Mercat Central. Des d’allí es contemplen dues opcions en l’itinerari: accés al barri de Velluters, amb parades en el Col·legi Major de la Seda i l’antic Hospital General, o recorregut fins al que va anar el barri de Pescadors.<br><br>Encara que el nucli principal de l’acció de La barraca transcorre en l’horta d’Alboraia, els personatges es desplacen amb una certa freqüència a València, per la qual cosa a partir dels seus moviments és possible traçar l’itinerari següent per la ciutat, que es completa amb alguns espais estretament vinculats a la biografia de Vicent Blasco Ibáñez."
12,Ruta Cultural Anell Ciclista,El anillo ciclista de la ciudad permite disfrutar a su paso de edificios y sitios emblemáticos de la ciudad. Todo un gusto ir en bicicleta y poder empaparse de la cultura y de la historia de la ciudad de Valencia. ,90.0,baja,Puerta del Mar,Jardines de la Glorieta,https://cultural.valencia.es/wp-content/uploads/2018/07/ruta-anell-ciclista-cultural-valencia-logotip.jpg,https://cultural.valencia.es/es/ruta/ruta-cultural-anillo-ciclista/,bicicleta,Històrica,L’anell ciclista de la ciutat permet gaudir al seu pas d’edificis i llocs emblemàtics de la ciutat. Tot un gust anar amb bicicleta i poder amarar-se de la cultura i la història de la ciutat de València.
13,Ruta de la Seda,"En esta ruta repasamos el rico legado histórico y patrimonial que dejó el comercio de la seda en Valencia. Entre los siglos XIV y XVIII esta fue una ciudad muy importante en la producción de tejidos, la industria más potente en dicho periodo. Desde el",120.0,,Palau de Tamarit,Palau de Malferit,https://cultural.valencia.es/wp-content/uploads/2018/10/ruta-de-la-seda-logo.jpg,https://cultural.valencia.es/es/ruta/ruta-de-la-seda/,peu,Històrica,"En aquesta ruta repassem el ric llegat històric i patrimonial que va deixar el comerç de la seda a València. Entre els segles XIV i XVIII aquesta va ser una ciutat molt important en la producció de teixits, la indústria més potent en aquest període.<br><br>Des de l’any 2015 València forma part d’un programa de la UNESCO i de l’Organització Mundial del Turisme per a la difusió del patrimoni cultural de la Ruta de la Seda. Així és com es va denominar als itineraris comercials de mercaderies que, a part de la seda, també incloïen ceràmiques i altres productes que arribaven des de Xina cap a Europa.<br><br>La cria del cuc de seda va ser incorporada pels àrabs en la península ibèrica durant el S. VIII. Així va ser com l’horta valenciana es va omplir de moreres segles abans que el taronger les destronara. Després, els genoveses van portar les més noves tècniques de producció a València i els artesans sederos es van instal·lar en el Barri de Velluters, on es manufacturava el teixit."
14,Ruta dels Pecats a l'entorn del Mercat Central,"El triángulo que conforman tres de los edificios más señeros de nuestra ciudad, La Lonja, el Mercado y la Iglesia de los Santos Juanes, conforman el muestrario de un auténtico zoológico de piedra y metal.",60.0,baja,Explanada de la Iglesia de los Santos Juanes (Iglesia de San Juan del Mercado),El jardín de La Lonja,https://cultural.valencia.es/wp-content/uploads/2018/07/mercat-façana-ruta-dels-pecats-cultural-valencia-logotip.jpg,https://cultural.valencia.es/es/ruta/ruta-de-los-pecados-en-el-entorno-del-mercado-central/,peu, Històrica,"El triangle que conformen tres dels edificis més capdavanters de la nostra ciutat, La Llotja, el Mercat i l’Església dels Santos Juanes, conformen el mostrari d’un autèntic zoològic de pedra i metall, un lloc en què l’escultura mostra la naturalesa, de manera real unes vegades, i amb la fantasia de la iconografia medieval, la tradició de la qual remet als bestiaris, en altres ocasions.<br><br>La ruta pren el nom de la porta nord de la Llotja, que porta tal nom, i del Mercat central, primer mercat d’Espanya per la seua varietat i bella arquitectura que és, sens dubte, una invitació per al pecat de la gula.<br><br>Devem la idea a l’escriptor Vicente Muñoz Puelles, doncs el seu llibre “Els animals de la ciutat” va ser el punt de partida per a l’elaboració, per part del Museu de Ciències Naturals, d’aquestes rutes per a descobrir la fauna oculta en les parets dels edificis i monuments de la ciutat."
15,Ruta pel Centre Històric,"Entre las Torres de Serranos y las de Quart, las dos únicas puertas fortificadas que se conservan de la muralla medieval, transcurre nuestra propuesta de ruta por el centro histórico de la ciudad. Un paseo a pie que nos ocupará aproximadamente una hora",60.0,,Torres dels Serrans,Torres de Quart,https://cultural.valencia.es/wp-content/uploads/2018/10/catedral-valencia-logo.jpg,https://cultural.valencia.es/es/ruta/ruta-pel-centre-historic/,peu,Turística,"Entre les Torres dels Serrans i les de Quart, les dues úniques portes fortificades que es conserven de la muralla medieval, transcorre la nostra proposta de ruta pel centre històric de la ciutat.<br><br>Un passeig a peu que ens ocuparà aproximadament una hora en el qual gaudirem dels principals monuments i llocs més emblemàtics de Ciutat Vella."
16,Ruta recinte enmurallat d'època islàmica,Se toma como referencia el trazado de la muralla en el momento de la conquista cristina de la ciudad en 1238 por las tropas de Jaime I.,,media,,,https://cultural.valencia.es/wp-content/uploads/2018/11/Tossal-Thumbail-300x204.jpg,https://cultural.valencia.es/es/ruta/ruta-recinto-amurallado-de-epoca-islamica/,peu, Històrica,Es pren com a referència el traçat de la muralla en el moment de la conquesta cristiana de la ciutat en 1238 per les tropes de Jaume I.
17,Ruta València en bicicleta,"Si apuestas por el transporte sostenible y te gusta ir en bicicleta, debes saber que Valencia reúne condiciones ideales para el turismo ciclista. Por muchas razones: por su tamaño no excesivamente grande, por su condición de ciudad prácticamente plana,",420.0,,Torres dels Serrans,Passeig Marítim,https://cultural.valencia.es/wp-content/uploads/2018/10/Palau-de-la-musica-logotipo.jpg,https://cultural.valencia.es/es/ruta/ruta-valencia-amb-bicicleta/,bicicleta,Turística,"Si apostes pel transport sostenible i t'agrada anar amb bicicleta, has de saber que València aplega condicions ideals per al turisme ciclista. Per moltes raons: per la seva mida no excessivament gran, per la seva condició de ciutat pràcticament plana, sense desnivells; per les condicions climàtiques agradables i pel carril bici de més de 120 quilòmetres que connecta tots els barris de la ciutat. A més, l´anell ciclista envolta el centre històric de València i permet accedir fàcilment a aquesta zona absolutament clau de la ciutat.

València pertany a la Xarxa de Ciutats per la Bicicleta, associació per a la generació d'una dinàmica entre ciutats espanyoles que permeti facilitar, fer més segura i desenvolupar la circulació dels ciclistes, especialment al medi urbà."
18,Sant Agustí – Pont de Fusta,"Algunos de los lugares y monumentos valencianos más representativos se encuentran en esta ruta que arranca en la Plaza de San Agustín y se extiende más allá de Ciutat Vella, hasta el Monasterio de la Santísima Trinidad cruzando el Pont de Fusta. Sin du",360.0,media,Iglesia de San Agustín,Torres de Serranos,https://cultural.valencia.es/wp-content/uploads/2018/10/Lonja-logo.jpg,https://cultural.valencia.es/es/ruta/san-agustin-pont-de-fusta/,peu,Patrimonial,"Alguns dels llocs i monuments valencians més representatius es troben en aquesta ruta que arranca en la Plaça de Sant Agustí i s’estén més enllà de Ciutat Vella, fins al Monestir de la Santíssima Trinitat creuant el Pont de Fusta.<br><br>Sens dubte, el visitant gaudirà recorrent els seus carrers, percebent l’aroma del passat convenientment actualitzat als nostres dies, admirant els seus monuments, visitant esglésies i palaus inoblidables, carrers senyorials, places singulars, la Catedral, el Mercat, el Museu de la Seda, edificis administratius i preciosos paratges verds com la Glorieta o el Jardí del Túria.<br><br>Els recorreguts que proposem, que transcorren entre els marges del casc vell de la ciutat, ajudaran a entendre millor la història i la personalitat d’aquest poble únic i d’una ciutat que mira al futur orgullosa del seu passat i de les seues tradicions."
19,Sant Agustí - Portal Nou,Esta ruta nos lleva por puntos históricos alrededor del casco antiguo de la ciudad de Valencia. Ciutat Vella es el distrito más antiguo de la ciudad. Podemos encontrar los principales edificios y monumentos emblemáticos de Valencia.,,baja,,,https://cultural.valencia.es/wp-content/uploads/2018/07/rutes-ciutta-valencia-casc-antic-wpcf_300x200.jpg,https://cultural.valencia.es/es/ruta/san-agustin-portal-nou/,peu,Patrimonial,"Les rutes patrimonials de València ens acosten als punts històrics al voltant del nucli antic de la ciutat. Ciutat Vella és el districte més antic de la ciutat. Podem trobar els principals edificis i monuments més emblematics. És el centre on es trobem els principals equipaments de la ciutat administratius, financers, comercials, culturals i museistics, religiosos i històrics.<br><br>A Ciutat Vella trobem un dels barris més emblemàtics de la ciutat com és el Carme. Un barri que al llarg dels anys ha anat adaptantse als canvis i avuí és un dels punts d’encontre cultural, artistic i d’oci de la ciutat.<br><br>Els recorreguts que et proposem són al voltant del districte de Ciutat Vella, gaudint dels edificis històrics, de les façanes antigues amb molt d’encant, d’activitat cultural, de la gent i d’un dels barris més antics de la ciutat de València."
20,Serrans - Palau de la Generalitat,"Esta ruta recorre alguno de los monumentos más destacados de nuestra arquitectura civil y religiosa. Iglesias de origen ancestral, museos, espacios culturales y palacios centenarios saldrán constantemente a nuestro paso en este recorrido cargado de tra",180.0,baja,Torres de Serranos,Palau de la Generalitat,https://cultural.valencia.es/wp-content/uploads/2018/10/130_PUENTE-TRINIDAD-logo.jpg,https://cultural.valencia.es/es/ruta/serrans-palau-de-la-generalitat/,peu,Patrimonial,"Aquesta ruta recorre algun dels monuments més destacats de la nostra arquitectura civil i religiosa. Iglesias d’origen ancestral, museus, espais culturals i palaus centenaris eixiran constantment al nostre pas en aquest recorregut carregat de tradició, d’espectacularitat monumental i de sabor popular.<br><br>Partim des dels voltants de les Torres dels Serrans, en ple casc vell de València, districte de Ciutat Vella.<br><br>Després, creuarem l’antic llit del riu Túria, avui conegut com a Jardí del Túria, per a visitar alguns dels llocs més representatius d’aquesta ruta patrimonial, i finalitzar en la Calle Cavallers.<br><br>La major part d’aquest recorregut transcorre en el archipopular Barri del Carmen i les seues proximitats.<br>"
21,Torres de Quart - Temple,"Pasado y presente se dan la mano en este recorrido que se plantea entre las Torres de Quart y el Palacio del Temple. Nuestro itinerario transcurre principalmente por el distrito de Ciutat Vella, por el casco viejo de Valencia a través de barrios como E",420.0,baja,Jardín Botánico,Jardines del Real,https://cultural.valencia.es/wp-content/uploads/2018/10/torres-de-quart-logotipo.jpg,https://cultural.valencia.es/es/ruta/torres-de-quart-temple/,peu,Patrimonial,"Jardins del Reial<br><br><br><br>Passat i present es donen la mà en aquest recorregut que es planteja entre les Torres de Quart i el Palau del Temple.<br><br>El nostre itinerari transcorre principalment pel districte de Ciutat Vella, pel casc vell de València a través de barris com El Botànic, El Carme, La Seu i El Mercat.<br><br>Recorrerem algunes dels carrers més antics i amb més tradició de la ciutat, tindrem ocasió d’admirar restes de l’antiga muralla islàmica i de visitar algun dels monuments més emblemàtics per al poble valencià.<br><br>Palaus senyorials, mercats, antigues portes de la muralla medieval que segueixen sent testimonis de la vida quotidiana dels valencians, la Catedral, la Basílica de la Verge dels Desemparats, antigues esglésies fundacionals de la ciutat, vestigis d’un passat romà, monuments del nostre Segle d’Or i altres joies del nostre patrimoni cultural."
22,Trinitat - L'Almodí,"La ruta comprendida entre el Monasterio de la Trinidad y el monumento del Almudín de Valencia cuenta con un enorme trasfondo histórico y artístico, y también con algunos de los lugares y monumentos más interesantes, reconocidos y admirados por los ciud",240.0,,Torres de Serranos,El Almudín,https://cultural.valencia.es/wp-content/uploads/2018/10/Almudín_destacada-1.jpg,https://cultural.valencia.es/es/ruta/trinidad-el-almudin/,peu,Patrimonial,"La ruta compresa entre el Monestir de la Trinitat i el monument de l’Almodí de València compta amb un enorme rerefons històric i artístic, i també amb alguns dels llocs i monuments més interessants, reconeguts i admirats pels ciutadans valencians.<br><br>En el marge dret de l’antic llit del riu Túria admirarem la majestuositat d’obres immortals, entre les quals podem destacar les Torres dels Serrans. Després, creuarem algun dels seus ponts centenaris per a gaudir d’una combinació única d’art, pintura i naturalesa.<br><br>El nostre recorregut ens portarà després fins al Carrer de Trinitaris en una ruta plagada de palaus, esglésies i altres monuments d’indiscutible bellesa."
23,Ruta Valencia en la Memòria,"Valencia en la Memoria es un proyecto de la Concejalía de Patrimonio y Recursos Culturales que recupera para el espacio público de nuestra ciudad edificios o monumentos que tuvieron un importante papel (político, cultural y cotidiano) durante la guerra civil, y para especial atención al año en qué Valencia fue capital de la República.",,baja,Edificio del Ayuntamiento,Hospital San Juan de Dios,https://cultural.valencia.es/wp-content/uploads/2018/09/ruta-valencia-en-la-memoria-cultural-valencia-destacado.jpg,https://cultural.valencia.es/es/ruta/valencia-en-la-memoria/,peu, Històrica,"València en la Memòria és un projecte de la Regidoria de Patrimoni i Recursos Culturals que recupera per a l´espai públic de la nostra ciutat edificis o monuments que tingueren un important paper (polític, cultural, quotidià) durant la guerra civil, i para especial atenció a l´any en què València fou capital de la República (novembre 1936-octubre 1937).<br><br>Una sèrie de fites (monòlits de formigó) ens donen les informacions més destacades, il.lustrades amb imatges històriques, i ampliables en una versió web, de fàcil accés gràcies a codis QR. Els llocs senyalitzats son els següents:"
