"Edad
",Género,¿De cuánto tiempo dispones para realizar la ruta?,Tipo de ruta preferida,Coste dispuesto a pagar,Dificultad,Acompañamiento,Transporte,score,Selecciona las rutas de tu interés,Selecciona la ruta a pie de dificultad alta de tu interés,Selecciona la ruta a pie de dificultad baja de tu interés,Selecciona la ruta en bici de tu interés,Submitted At,Token
18-35,Prefiero no decirlo,7 - 8 horas,Turistica,Gratis,Alta,Solo,Pie,"0,1","Arbres monumentals i singulars, Arbres: La volta al món, Arbres: Els indians, Arbres: Un passeig per l’Albereda, Contes Blasco Ibañez – Ruta 2, Contes Blasco Ibañez – Ruta 1, Arbres: Un viatge pel Mediterrani, Ruta Carrer Russafa - la Llotja, Entre Naranjos, Glorieta-Santa Catalina, Jardins del Reial - Glorieta, La barraca, Ruta pel Centre Històric, Ruta dels Pecats a l'entorn del Mercat Central, Ruta de la Seda, Ruta Cultural Anell Ciclista, Ruta recinte enmurallat d'època islàmica, Ruta València en bicicleta, Sant Agustí – Pont de Fusta, Sant Agustí - Portal Nou, Ruta Valencia en la Memòria, Trinitat - L'Almodí, Torres de Quart - Temple, Serrans - Palau de la Generalitat",,,,20/07/2022 7:55:05,kevmi9gke88jin1l08wiukevmid5ftyw
18-35,Hombre,3 - 4 horas,Turistica,1-50 Euros,Alta,Pareja,Pie,"0,05","Ruta Valencia en la Memòria, Arbres: Els indians, Ruta Carrer Russafa - la Llotja, Jardins del Reial - Glorieta, Ruta dels Pecats a l'entorn del Mercat Central, Ruta València en bicicleta, Serrans - Palau de la Generalitat",,,,20/07/2022 8:09:33,yp96cz4ct5j1e9ypk0gs0cplbaaue60a
18-35,Hombre,1 - 2 horas,Turistica,Gratis,Baja,Solo,Pie,"0,05","Arbres monumentals i singulars, Arbres: Un passeig per l’Albereda, Arbres: Un viatge pel Mediterrani, Ruta de la Seda, Ruta dels Pecats a l'entorn del Mercat Central, Ruta València en bicicleta",,,,20/07/2022 8:14:19,brf70g370aymqq21nbrf79ze98cdxr9f
35-45,Hombre,1 - 2 horas,Turistica,Gratis,Alta,Pareja,Bicicleta,"0,05","Arbres monumentals i singulars, Ruta dels Pecats a l'entorn del Mercat Central",,,,20/07/2022 8:18:45,gnuj4ndff8cj2ke0kgnuj4kczyl7oj8c
18-35,Hombre,1 - 2 horas,Turistica,Gratis,Baja,Pareja,Pie,"0,05","Ruta pel Centre Històric, Ruta València en bicicleta",,,,20/07/2022 8:19:21,d1qsp6iyzjybqndfi6jq4d1qsp601li3
18-35,Hombre,3 - 4 horas,Turistica,1-50 Euros,Alta,Pareja,Bicicleta,"0,05",Ruta Carrer Russafa - la Llotja,,,,20/07/2022 8:20:56,h5uh4vvwpccsn2xzh5uh4r6632zlg1tu
18-35,Hombre,1 - 2 horas,Turistica,+50 Euros,Baja,Pareja,Pie,"0,05",Arbres monumentals i singulars,,,,20/07/2022 8:24:06,fy7cb7jlzw2nvyg8fy7cbiiv6bywzexn
18-35,Hombre,1 - 2 horas,Turistica,1-50 Euros,Baja,Pareja,Bicicleta,"0,05","Torres de Quart - Temple, Ruta dels Pecats a l'entorn del Mercat Central, Ruta pel Centre Històric, Jardins del Reial - Glorieta, Arbres monumentals i singulars, Arbres: La volta al món",,,,20/07/2022 8:27:06,3329qia8994wcs2sg7kzum3329qikj2s
35-45,Hombre,3 - 4 horas,Turistica,Gratis,Baja,Pareja,Pie,"0,05","Ruta València en bicicleta, Torres de Quart - Temple, Serrans - Palau de la Generalitat",,,,20/07/2022 8:33:11,t7fc4od4bbz9yts7htcbukvat7fc4od4
18-35,Mujer,1 - 2 horas,Historica,Gratis,Baja,Pareja,Pie,"0,07","Ruta pel Centre Històric, Jardins del Reial - Glorieta, Ruta de la Seda, Arbres: La volta al món",,,,20/07/2022 8:52:47,2rr6yrnjkj02tz88pd2rr6yrswkk5ubn
18-35,Hombre,3 - 4 horas,Patrimonio,Gratis,Alta,Solo,Bicicleta,"0,05",Ruta València en bicicleta,,,,20/07/2022 8:55:19,c83vl101ls2jd8nfncbxc83vzis937v0
18-35,Hombre,7 - 8 horas,Historica,Gratis,Alta,Pareja,Bicicleta,"0,05",Ruta Valencia en la Memòria,,,,20/07/2022 8:56:02,yx1bpyn4tx3dn61k6a9yx1bpyna2m67s
18-35,Hombre,3 - 4 horas,Turistica,1-50 Euros,Baja,Pareja,Bicicleta,"0,05","Ruta Valencia en la Memòria, Arbres monumentals i singulars",,,,20/07/2022 8:59:58,ohvlx5ekts9ohyk3y1ohvlx5c4z7yu0l
35-45,Hombre,3 - 4 horas,Historica,1-50 Euros,Baja,Familia,Bicicleta,"0,05","Arbres: Els indians, Arbres monumentals i singulars, Arbres: La volta al món, Arbres: Un passeig per l’Albereda",,,,20/07/2022 9:05:19,mqvy1nqt7mu7vhk2td3gwmqvy1nq7dfu
18-35,Mujer,3 - 4 horas,Historica,Gratis,Baja,Pareja,Pie,"0,07","Jardins del Reial - Glorieta, Glorieta-Santa Catalina",,,,20/07/2022 9:19:59,stu1ua3fsfgu257aflfstu1ua3m2pltt
35-45,Hombre,1 - 2 horas,Patrimonio,1-50 Euros,Alta,Solo,Pie,"0,05",Torres de Quart - Temple,,,,20/07/2022 9:24:42,f4hm7xq8pqgw4cpubf4hm7n19nm9o3hu
18-35,Mujer,1 - 2 horas,Patrimonio,Gratis,Baja,Solo,Bicicleta,"0,07","Arbres monumentals i singulars, Arbres: Un passeig per l’Albereda, Glorieta-Santa Catalina, Jardins del Reial - Glorieta, La barraca, Ruta recinte enmurallat d'època islàmica, Ruta València en bicicleta, Serrans - Palau de la Generalitat, Ruta Valencia en la Memòria",,,,20/07/2022 9:36:08,0fdsw794tggu6330fdswwan32cuvepwa
18-35,Hombre,3 - 4 horas,Turistica,1-50 Euros,Baja,Pareja,Pie,"0,05","Ruta pel Centre Històric, Ruta dels Pecats a l'entorn del Mercat Central, Ruta de la Seda, Jardins del Reial - Glorieta, Arbres: Un passeig per l’Albereda, Arbres: Els indians, Arbres: La volta al món, Arbres monumentals i singulars, Ruta València en bicicleta, Sant Agustí – Pont de Fusta, Serrans - Palau de la Generalitat",,,,20/07/2022 9:39:01,oaa5whazgk3rzaxce4wroaa5whoaz1uw
35-45,Mujer,1 - 2 horas,Historica,1-50 Euros,Baja,Solo,Pie,"0,07","Ruta Carrer Russafa - la Llotja, Glorieta-Santa Catalina, Jardins del Reial - Glorieta",,,,20/07/2022 9:48:33,jlfinb6qhumjkqhc2tky0l7bjlfinb6o
18-35,Hombre,3 - 4 horas,Literaria,Gratis,Alta,Solo,Pie,"0,05","Arbres: Un viatge pel Mediterrani, Arbres monumentals i singulars, Arbres: La volta al món, Ruta Valencia en la Memòria",,,,20/07/2022 10:40:41,qrrr90nqsklp4qrr7h3x0fcnrjorjerd
+45,Hombre,7 - 8 horas,Patrimonio,+50 Euros,Baja,Pareja,Bicicleta,"0,05","Ruta de la Seda, Ruta pel Centre Històric, Ruta dels Pecats a l'entorn del Mercat Central, Ruta València en bicicleta, Ruta recinte enmurallat d'època islàmica, Sant Agustí – Pont de Fusta, Sant Agustí - Portal Nou, Torres de Quart - Temple, Ruta Valencia en la Memòria, Trinitat - L'Almodí, Serrans - Palau de la Generalitat",,,,20/07/2022 10:53:35,9jl0z94fhf8wr69jl0zavls6t3akjkij
35-45,Mujer,1 - 2 horas,Literaria,Gratis,Alta,Familia,Pie,"0,07",Arbres: Un viatge pel Mediterrani,,,,20/07/2022 11:11:51,03z9wymoyyftfhebq8f2log03z9wymox
35-45,Hombre,1 - 2 horas,Historica,Gratis,Alta,Solo,Bicicleta,"0,05",,,,,20/07/2022 11:13:38,b7hiw1o6w9i986zz0bd15b7hi6rb09gk
+45,Hombre,1 - 2 horas,Historica,1-50 Euros,Baja,Familia,Pie,"0,05","Ruta Carrer Russafa - la Llotja, La barraca, Ruta de la Seda, Ruta dels Pecats a l'entorn del Mercat Central, Ruta recinte enmurallat d'època islàmica, Torres de Quart - Temple, Ruta Valencia en la Memòria",,,,20/07/2022 11:13:53,jkabmlp91rg75yk5c5jkabc0xl2c0465
18-35,Mujer,1 - 2 horas,Historica,1-50 Euros,Baja,Pareja,Pie,"0,07","Ruta Valencia en la Memòria, Arbres monumentals i singulars, Ruta Carrer Russafa - la Llotja, Ruta pel Centre Històric, Sant Agustí – Pont de Fusta",,,,20/07/2022 11:14:03,gosabpixzdhhpg6pvvd4lgosabp7dbug
+45,Mujer,3 - 4 horas,Turistica,Gratis,Baja,Familia,Pie,"0,07","Jardins del Reial - Glorieta, La barraca, Ruta València en bicicleta",,,,20/07/2022 11:20:08,l1v895pc3cq9gsl91vu06fl1v89ifns5
35-45,Mujer,1 - 2 horas,Turistica,1-50 Euros,Baja,Familia,Bicicleta,"0,07","Arbres: La volta al món, Ruta de la Seda, Ruta pel Centre Històric, Ruta València en bicicleta, Ruta recinte enmurallat d'època islàmica",,,,20/07/2022 11:24:02,o13zz2ozj9to13zrvnuf6nxeoczsi67h
35-45,Hombre,1 - 2 horas,Historica,Gratis,Baja,Solo,Bicicleta,"0,05","Glorieta-Santa Catalina, Entre Naranjos, Arbres: Un viatge pel Mediterrani, Arbres: Un passeig per l’Albereda",,,,20/07/2022 11:24:11,mvkb5ysq8f0i7hcwmvkb070vg2col0lf
18-35,Prefiero no decirlo,1 - 2 horas,Turistica,1-50 Euros,Baja,Solo,Pie,"0,1","Arbres monumentals i singulars, Contes Blasco Ibañez – Ruta 1, Contes Blasco Ibañez – Ruta 2, Entre Naranjos, Jardins del Reial - Glorieta, La barraca, Ruta de la Seda, Ruta recinte enmurallat d'època islàmica",,,,20/07/2022 11:24:35,uo512paegkaha83tnnludbuo512pae38
18-35,Hombre,7 - 8 horas,Turistica,+50 Euros,Alta,Familia,Pie,"0,05",,,,,20/07/2022 12:01:53,dnxn90djdodhu6pdnxn9folsqdbjwbry
+45,Hombre,3 - 4 horas,Turistica,+50 Euros,Alta,Solo,Pie,"0,05",,,,,20/07/2022 12:24:32,w9flpn56halyhjw9fljpq9jy62fbjpqk
+45,Mujer,1 - 2 horas,Historica,Gratis,Alta,Solo,Pie,"0,07",Ruta Valencia en la Memòria,,,,20/07/2022 12:24:58,fukwjjxqpn1fukwjp4srxhj42zd25i4k
18-35,Hombre,7 - 8 horas,Turistica,1-50 Euros,Baja,Solo,Pie,"0,05",Jardins del Reial - Glorieta,,,,20/07/2022 12:27:36,x7ome9x2ynbnp5shwx4fx7ome9x2x1wo
35-45,Mujer,3 - 4 horas,Literaria,Gratis,Baja,Solo,Bicicleta,"0,07",Ruta Valencia en la Memòria,,,,20/07/2022 12:29:33,6nfmbnm34s4mjv5i2gm6nfdda4a5v2ln
18-35,Hombre,5 - 6 horas,Historica,Gratis,Alta,Pareja,Pie,"0,05",Trinitat - L'Almodí,,,,20/07/2022 12:55:00,7rtkf9axd1fxw05bhh7rtzad0az8gqkx
35-45,Hombre,3 - 4 horas,Turistica,1-50 Euros,Baja,Pareja,Bicicleta,"0,05",Ruta Cultural Anell Ciclista,,,,20/07/2022 13:19:19,rpzj9rhtidu415gdcx1mnlrpzj9rhx0b
18-35,Mujer,1 - 2 horas,Historica,Gratis,Baja,Pareja,Bicicleta,"0,07",Arbres: La volta al món,,,,20/07/2022 13:43:02,1kce0gg1ye9fm1kw4kty5ue4bkcu9n2t
35-45,Hombre,1 - 2 horas,Turistica,1-50 Euros,Alta,Familia,Pie,"0,05",Ruta dels Pecats a l'entorn del Mercat Central,,,,20/07/2022 13:55:14,1uhnubu22sr762jl1uhnu7e7nu4xxd63
+45,Hombre,7 - 8 horas,Historica,1-50 Euros,Alta,Pareja,Bicicleta,"0,05",Ruta Valencia en la Memòria,,,,20/07/2022 15:29:15,5h9h2a2mtuzdclda3nhoge5h9h2ktolh
18-35,Mujer,1 - 2 horas,Historica,1-50 Euros,Baja,Pareja,Pie,"0,07",Ruta de la Seda,,,,20/07/2022 16:25:45,2wqhh6mvs2s43cy34zr4c2w2wqhh6zpj
35-45,Hombre,1 - 2 horas,Patrimonio,1-50 Euros,Baja,Familia,Pie,"0,05",Ruta Valencia en la Memòria,,,,20/07/2022 16:39:26,lwel93zuespl79vthlwel93zba30wyzq
18-35,Hombre,3 - 4 horas,Historica,Gratis,Alta,Pareja,Pie,"0,05",Ruta Valencia en la Memòria,,,,20/07/2022 16:48:58,033y4wmwt9wish16jlxl033y46oy84p5
+45,Hombre,1 - 2 horas,Historica,Gratis,Baja,Pareja,Pie,"0,05",Ruta pel Centre Històric,,,,20/07/2022 18:32:59,ony009geek3gony0pi1idsio28pf7hoj
,Mujer,1 - 2 horas,Historica,Gratis,Baja,Pareja,Pie,"0,07",Ruta pel Centre Històric,,,,20/07/2022 18:33:13,0vq2r5h1q5mewg5rz2iz0vq2r5httcmn
0-18,Mujer,1 - 2 horas,Historica,Gratis,Baja,Familia,Bicicleta,"0,07",Ruta Valencia en la Memòria,,,,20/07/2022 19:45:00,dmiw5n6hmuwf4tlqj6gc7dmiw5n6qexk
18-35,Hombre,1 - 2 horas,Historica,Gratis,Alta,Solo,Pie,"0,05",Ruta recinte enmurallat d'època islàmica,,,,20/07/2022 19:56:15,zr0ebq6yiif15bf4zr0ebakvopk7vzxn
18-35,Hombre,3 - 4 horas,Historica,Gratis,Baja,Solo,Bicicleta,"0,05",Arbres monumentals i singulars,,,,20/07/2022 21:20:06,09ulzd6izlqoalnj409ulg4d13qmutz7
18-35,Hombre,3 - 4 horas,Turistica,1-50 Euros,Alta,Pareja,Pie,"0,05",Ruta València en bicicleta,,,,20/07/2022 22:29:23,sjr393xk1tqw1oeiq3ka2sjr393xkmp5
0-18,Hombre,5 - 6 horas,Historica,Gratis,Baja,Familia,Pie,"0,05",Arbres monumentals i singulars,,,,21/07/2022 6:11:22,nxfvyt5qyaabl61znxfvyt6dmwhq4i0s
+45,Mujer,1 - 2 horas,Historica,1-50 Euros,Baja,Familia,Bicicleta,"0,07",Arbres: La volta al món,,,,21/07/2022 10:15:54,adrw44zj7acyxoqkgjzadrw4ca2xblqe
35-45,Hombre,3 - 4 horas,Turistica,Gratis,Alta,Solo,A Pie,"0,05",,Serrans - Palau de la Generalitat,,,21/07/2022 10:39:25,ezc7uirtvtf4155kjgwlezc7uir6k0ac
18-35,Hombre,3 - 4 horas,Literaria,1-50 Euros,,Solo,,"0,05",,,,,21/07/2022 10:44:42,eqndxdsfjp87ovafqneqndvh4jx2zukr
18-35,Hombre,3 - 4 horas,Historica,Gratis,Alta,Pareja,A Pie,"0,05",,Ruta recinte enmurallat d'època islàmica,,,21/07/2022 11:18:07,orvi0p2n0551a01a55aorvzqkl1h4f14
35-45,Hombre,1 - 2 horas,Historica,Gratis,Baja,Familia,A Pie,"0,05",,,Ruta dels Pecats a l'entorn del Mercat Central,,21/07/2022 11:19:48,7bxws4k0rsewdm42yvua7bxwskfjoy6g
18-35,Hombre,1 - 2 horas,Historica,Gratis,Alta,Solo,Bicicleta,"0,05",,,,Arbres monumentals i singulars,21/07/2022 11:21:36,it3z4qqa3wl796grgrvit3z4qwl0zl60
18-35,Hombre,3 - 4 horas,Historica,Gratis,Alta,Solo,A Pie,"0,05",,Ruta recinte enmurallat d'època islàmica,,,21/07/2022 11:22:23,ldnkuj8woe97dml6krldnkujz3pzdnsi
18-35,Mujer,5 - 6 horas,Patrimonio,Gratis,Alta,Pareja,A Pie,"0,07",,Ruta recinte enmurallat d'època islàmica,,,21/07/2022 11:38:20,k1fsgyq562ah7ohy4k1fsgyq8qqne7iv
18-35,Hombre,1 - 2 horas,Turistica,Gratis,Baja,Pareja,Bicicleta,"0,05",,,,Ruta València en bicicleta,21/07/2022 11:42:23,y6r29um08uf1gots1y6r2k1b2vyirfcv
